Time_Index,CT_NG,ME_NG,MA_NG,None
0,0.05306,0.05306,0.05306,0.0
1,5.45,5.45,5.28,0.0
2,5.45,5.45,5.28,0.0
3,5.45,5.45,5.28,0.0
4,5.45,5.45,5.28,0.0
5,5.45,5.45,5.28,0.0
6,5.45,5.45,5.28,0.0
7,5.45,5.45,5.28,0.0
8,5.45,5.45,5.28,0.0
9,5.45,5.45,5.28,0.0
10,5.45,5.45,5.28,0.0
11,5.45,5.45,5.28,0.0
12,5.45,5.45,5.28,0.0
13,5.45,5.45,5.28,0.0
14,5.45,5.45,5.28,0.0
15,5.45,5.45,5.28,0.0
16,5.45,5.45,5.28,0.0
17,5.45,5.45,5.28,0.0
18,5.45,5.45,5.28,0.0
19,5.45,5.45,5.28,0.0
20,5.45,5.45,5.28,0.0
21,5.45,5.45,5.28,0.0
22,5.45,5.45,5.28,0.0
23,5.45,5.45,5.28,0.0
24,5.45,5.45,5.28,0.0
25,5.45,5.45,5.28,0.0
26,5.45,5.45,5.28,0.0
27,5.45,5.45,5.28,0.0
28,5.45,5.45,5.28,0.0
29,5.45,5.45,5.28,0.0
30,5.45,5.45,5.28,0.0
31,5.45,5.45,5.28,0.0
32,5.45,5.45,5.28,0.0
33,5.45,5.45,5.28,0.0
34,5.45,5.45,5.28,0.0
35,5.45,5.45,5.28,0.0
36,5.45,5.45,5.28,0.0
37,5.45,5.45,5.28,0.0
38,5.45,5.45,5.28,0.0
39,5.45,5.45,5.28,0.0
40,5.45,5.45,5.28,0.0
41,5.45,5.45,5.28,0.0
42,5.45,5.45,5.28,0.0
43,5.45,5.45,5.28,0.0
44,5.45,5.45,5.28,0.0
45,5.45,5.45,5.28,0.0
46,5.45,5.45,5.28,0.0
47,5.45,5.45,5.28,0.0
48,5.45,5.45,5.28,0.0
49,4.09,4.09,3.98,0.0
50,4.09,4.09,3.98,0.0
51,4.09,4.09,3.98,0.0
52,4.09,4.09,3.98,0.0
53,4.09,4.09,3.98,0.0
54,4.09,4.09,3.98,0.0
55,4.09,4.09,3.98,0.0
56,4.09,4.09,3.98,0.0
