Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3,Demand_Zero
1,102999,84477,30571,31937.18,30440.74,15988.28,0
2,98121,81764,29452,31937.18,30440.74,15988.28,0
3,95100,80248,28759,31937.18,30440.74,15988.28,0
4,93727,79706,28478,31937.18,30440.74,15988.28,0
5,93366,80187,28562,31937.18,30440.74,15988.28,0
6,94907,81865,29177,31937.18,30440.74,15988.28,0
7,98355,84663,30401,31937.18,30440.74,15988.28,0
8,103496,88018,31800,31937.18,30440.74,15988.28,0
9,111479,91511,33829,31937.18,30440.74,15988.28,0
10,119113,94324,35282,31937.18,30440.74,15988.28,0
11,122199,94962,36110,31937.18,30440.74,15988.28,0
12,123146,94418,36503,31937.18,30440.74,15988.28,0
13,124605,93628,36546,31937.18,30440.74,15988.28,0
14,125819,92523,36310,31937.18,30440.74,15988.28,0
15,126191,91362,36023,31937.18,30440.74,15988.28,0
16,126519,90948,36182,31937.18,30440.74,15988.28,0
17,127567,92478,37435,31937.18,30440.74,15988.28,0
18,130022,97542,40334,31937.18,30440.74,15988.28,0
19,135140,102291,40416,31937.18,30440.74,15988.28,0
20,134507,101842,39025,31937.18,30440.74,15988.28,0
21,132014,101600,38062,31937.18,30440.74,15988.28,0
22,128031,100016,36523,31937.18,30440.74,15988.28,0
23,125456,98006,35237,31937.18,30440.74,15988.28,0
24,117006,93479,32613,31937.18,30440.74,15988.28,0
